,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
191,0.634,0.526,5,-7.881,0,0.0333,0.339,0.0,0.257,0.623,90.087
192,0.773,0.437,9,-8.281,1,0.0963,0.836,2.42e-05,0.544,0.707,103.861
193,0.745,0.561,0,-4.869,1,0.0807,0.0758,0.0,0.133,0.449,77.557
194,0.63,0.63,9,-6.211,1,0.0395,0.0131,0.0,0.142,0.163,80.512
195,0.655,0.441,9,-5.245,0,0.0629,0.474,0.0,0.099,0.273,139.957
196,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972
197,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026
198,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022
199,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085
200,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
201,0.329,0.235,10,-7.699,1,0.0303,0.918,0.0,0.137,0.22,171.006
202,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953
203,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,119.949
204,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355
205,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891
206,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148
207,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073
208,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
209,0.407,0.416,6,-8.915,0,0.174,0.656,0.0,0.0981,0.246,176.947
210,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078
211,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986
212,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64
213,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04
214,0.753,0.355,8,-13.295,0,0.0898,0.48,0.87,0.122,0.506,111.863
215,0.429,0.486,1,-9.971,1,0.101,0.866,0.0,0.0982,0.661,146.99
216,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202
217,0.436,0.153,0,-9.522,1,0.0454,0.911,0.0,0.129,0.415,71.684
218,0.522,0.385,0,-7.355,1,0.0288,0.536,0.0,0.135,0.236,89.792
219,0.576,0.307,11,-12.732,0,0.0428,0.807,0.000355,0.0792,0.157,67.513
220,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953
221,0.488,0.343,4,-8.985,1,0.0436,0.556,0.0,0.21,0.0978,102.819
222,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917
223,0.551,0.537,11,-7.595,1,0.034,0.705,0.0,0.0802,0.493,126.421
224,0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036
225,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22
226,0.492,0.275,6,-13.4,0,0.3,0.687,0.0,0.101,0.18,92.6
227,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881
228,0.453,0.383,0,-11.015,1,0.163,0.728,0.0,0.387,0.333,105.029
229,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599
230,0.696,0.543,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969
231,0.675,0.16,0,-11.667,1,0.0586,0.985,0.00688,0.164,0.247,69.754
232,0.614,0.318,7,-12.695,1,0.0478,0.896,0.00239,0.0795,0.112,119.959
233,0.53,0.281,5,-8.274,1,0.0577,0.798,0.0,0.0928,0.341,122.442
234,0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.143,0.343,77.765
235,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021
236,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011
237,0.515,0.27,10,-9.935,1,0.0357,0.842,0.0,0.114,0.234,120.483
238,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284
239,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139
240,0.615,0.622,5,-7.198,1,0.209,0.328,0.0,0.162,0.449,77.28
241,0.188,0.411,0,-9.733,1,0.0484,0.174,0.153,0.0843,0.159,187.376
242,0.544,0.216,7,-17.237,1,0.0402,0.922,0.311,0.112,0.145,75.004
243,0.551,0.386,0,-10.22,1,0.132,0.659,0.0,0.125,0.245,116.409
244,0.569,0.403,10,-8.618,1,0.0439,0.593,4.49e-06,0.102,0.269,119.819
245,0.603,0.204,7,-12.727,0,0.112,0.479,0.0714,0.642,0.71,74.688
246,0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95
247,0.419,0.453,8,-7.685,1,0.0437,0.539,0.0,0.0971,0.356,140.327
248,0.503,0.37,11,-17.502,1,0.0489,0.768,0.599,0.116,0.102,78.963
249,0.648,0.308,1,-11.729,1,0.04,0.886,0.0774,0.124,0.198,76.997
250,0.408,0.47,10,-10.149,1,0.0893,0.666,5.44e-05,0.0926,0.0953,51.66
251,0.512,0.526,1,-5.44,1,0.0251,0.0724,0.0,0.0675,0.249,85.024
252,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
253,0.765,0.472,10,-5.837,1,0.052,0.291,0.0,0.389,0.352,119.946
254,0.445,0.537,4,-8.532,0,0.04,0.695,1.65e-05,0.0944,0.131,122.769
255,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981
256,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934
257,0.516,0.595,5,-4.63,1,0.0313,0.0275,0.0,0.109,0.222,119.972
258,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914
259,0.412,0.236,4,-15.159,0,0.0379,0.83,0.00653,0.147,0.119,140.214
260,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874
261,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025
