,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
122,0.559,0.752,8,-10.046,1,0.0581,0.448,0.00061,0.0907,0.946,187.712
123,0.548,0.632,2,-5.569,1,0.145,0.0126,4.95e-06,0.0769,0.535,113.682
124,0.639,0.845,0,-3.333,0,0.0372,0.0528,0.0,0.336,0.871,119.48
125,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95
126,0.614,0.603,10,-10.929,1,0.139,0.709,0.000173,0.294,0.608,84.997
127,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019
128,0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922
129,0.584,0.726,1,-4.604,1,0.0371,0.14,0.0,0.0984,0.398,106.979
130,0.965,0.857,11,-8.458,0,0.17,0.00131,0.0,0.0726,0.951,127.656
131,0.741,0.711,5,-9.359,0,0.126,0.439,0.0,0.116,0.801,74.989
132,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82
133,0.434,0.958,11,-3.558,1,0.0543,2.64e-05,0.000245,0.101,0.746,145.063
134,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
135,0.818,0.688,0,-7.083,0,0.0379,0.00209,0.0541,0.282,0.971,122.983
136,0.794,0.628,6,-4.321,0,0.0328,0.0871,0.0,0.181,0.935,121.793
137,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348
138,0.654,0.791,11,-6.243,1,0.048,0.0392,0.0,0.321,0.603,133.042
139,0.692,0.832,0,-4.414,1,0.0291,0.0881,0.0674,0.183,0.858,112.007
140,0.631,0.924,0,-5.589,1,0.146,0.0841,3.59e-06,0.084,0.755,100.045
141,0.782,0.873,2,-7.157,1,0.0475,0.141,0.0571,0.112,0.858,123.181
142,0.689,0.887,11,-4.27,1,0.0424,0.0231,0.0,0.275,0.937,142.014
143,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745
144,0.323,0.847,11,-4.716,1,0.0348,5.12e-06,0.0208,0.25,0.859,173.914
145,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044
146,0.613,0.923,0,-5.234,1,0.0691,0.00892,0.0,0.149,0.669,96.043
147,0.516,0.684,8,-5.659,1,0.0797,0.652,0.0,0.685,0.84,161.167
148,0.636,0.881,2,-5.376,1,0.0758,0.134,0.00952,0.074,0.845,118.237
149,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205
150,0.72,0.715,11,-4.652,1,0.04,0.258,0.0568,0.107,0.357,107.041
151,0.679,0.715,9,-6.383,1,0.0407,0.0755,0.0,0.271,0.571,127.435
152,0.768,0.714,10,-5.11,1,0.0401,0.352,0.0,0.15,0.842,131.443
153,0.675,0.166,11,-22.602,1,0.171,0.88,7.14e-05,0.0461,0.747,68.837
154,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012
155,0.647,0.822,5,-4.662,0,0.183,0.219,0.0,0.0908,0.962,160.019
156,0.606,0.684,7,-7.486,1,0.0343,0.0208,0.000867,0.107,0.225,116.993
157,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96
158,0.794,0.506,0,-3.939,1,0.0822,0.772,0.0,0.12,0.728,70.585
159,0.761,0.695,5,-4.048,1,0.0886,0.0783,0.0,0.14,0.69,118.004
160,0.742,0.67,6,-5.444,0,0.0509,0.0177,0.0,0.273,0.962,140.079
161,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
162,0.631,0.924,0,-5.589,1,0.146,0.0841,3.59e-06,0.084,0.755,100.045
163,0.603,0.65,11,-5.848,1,0.0477,0.0102,0.0,0.243,0.678,124.068
164,0.674,0.778,0,-5.367,1,0.0376,0.0469,0.0,0.145,0.816,90.01
165,0.722,0.797,0,-5.179,1,0.0887,0.00448,0.339,0.0989,0.273,122.025
166,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017
167,0.72,0.791,1,-4.689,1,0.124,0.0384,0.0,0.157,0.756,102.071
168,0.91,0.455,2,-10.206,0,0.198,0.0259,0.0,0.375,0.877,102.572
169,0.707,0.797,2,-5.74,1,0.104,0.0194,0.0,0.2,0.581,137.822
170,0.655,0.632,2,-4.669,1,0.0383,0.376,0.0,0.26,0.618,121.081
171,0.759,0.486,4,-11.775,1,0.137,0.722,0.0,0.105,0.863,160.832
172,0.641,0.844,2,-5.087,1,0.0454,0.0663,0.00283,0.186,0.576,89.984
173,0.779,0.571,1,-15.327,1,0.0427,0.00511,1.16e-05,0.0532,0.96,116.197
174,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93
175,0.601,0.711,3,-4.353,0,0.0611,0.0808,0.0,0.113,0.512,127.948
176,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902
177,0.95,0.517,0,-3.846,1,0.0751,0.809,0.0,0.089,0.96,110.054
178,0.841,0.465,1,-14.322,1,0.0405,0.26,9.92e-06,0.0878,0.962,127.08
179,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022
180,0.584,0.833,2,-4.774,1,0.0546,0.374,1e-05,0.122,0.403,124.967
181,0.64,0.681,6,-5.362,1,0.0334,0.0438,0.0,0.166,0.676,118.062
182,0.637,0.594,3,-9.665,1,0.36,0.8,0.0267,0.462,0.284,120.351
183,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-05,0.0742,0.865,103.979
184,0.778,0.758,2,-6.985,1,0.0397,0.331,0.00469,0.12,0.406,137.931
185,0.671,0.755,0,-9.626,1,0.0327,0.00044,0.113,0.319,0.384,129.067
186,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106
187,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012
188,0.738,0.983,5,-4.374,0,0.0852,0.0376,5.98e-06,0.183,0.957,92.998
189,0.483,0.739,1,-4.526,0,0.0487,0.00496,0.0,0.206,0.0765,128.271
190,0.763,0.747,6,-8.728,0,0.0969,0.0197,0.0,0.274,0.517,140.043
191,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048
192,0.722,0.954,8,-4.169,1,0.0764,0.0054,0.942,0.651,0.845,124.983
193,0.527,0.821,9,-6.912,1,0.0504,0.000379,1.86e-06,0.0673,0.471,127.968
194,0.697,0.875,5,-4.621,1,0.034,0.137,0.0,0.28,0.774,140.069
195,0.476,0.776,7,-6.95,1,0.173,0.00155,0.0,0.464,0.247,139.969
196,0.751,0.784,8,-4.964,1,0.138,0.0521,2.64e-05,0.0629,0.533,106.069
197,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972
198,0.733,0.785,11,-7.496,1,0.0416,0.0934,0.00135,0.101,0.796,102.987
199,0.802,0.626,6,-6.532,1,0.0348,0.102,9.23e-05,0.0674,0.923,119.995
200,0.646,0.782,5,-4.487,1,0.0535,0.119,0.0,0.0744,0.74,92.997
201,0.732,0.744,11,-4.18,0,0.048,0.192,2.49e-05,0.0868,0.281,110.975
202,0.706,0.863,10,-6.054,0,0.0709,0.189,0.0,0.36,0.418,114.969
203,0.648,0.724,0,-5.189,1,0.0263,0.0198,0.0,0.15,0.382,125.014
204,0.728,0.636,5,-5.824,1,0.0366,0.194,2.57e-05,0.515,0.433,124.023
205,0.749,0.657,7,-5.51,1,0.033,0.314,0.0,0.192,0.822,127.964
206,0.714,0.73,0,-6.326,1,0.116,0.129,0.0,0.174,0.437,119.992
207,0.66,0.667,11,-6.87,1,0.0474,0.141,5.26e-05,0.107,0.452,114.901
208,0.659,0.801,7,-4.234,1,0.0435,0.0636,0.0,0.341,0.334,105.991
209,0.651,0.774,2,-5.246,1,0.0641,0.0849,0.0,0.102,0.589,104.896
210,0.929,0.67,8,-3.977,1,0.0488,0.068,0.0,0.318,0.938,120.935
211,0.65,0.801,9,-4.648,1,0.0426,0.0184,0.0,0.371,0.561,103.992
212,0.789,0.709,11,-5.157,0,0.294,0.261,0.0,0.146,0.656,88.048
213,0.578,0.697,5,-6.107,1,0.0431,0.0376,1.94e-06,0.211,0.358,89.916
214,0.687,0.841,11,-5.216,1,0.0942,0.156,0.0,0.0834,0.811,114.981
215,0.735,0.694,11,-5.258,0,0.0387,0.00088,0.0,0.0582,0.777,121.46
216,0.508,0.661,1,-3.166,0,0.128,0.0111,0.0,0.315,0.699,79.603
217,0.688,0.742,5,-6.363,1,0.0496,0.00912,1.37e-06,0.186,0.74,110.026
218,0.515,0.754,11,-4.116,1,0.0373,0.231,0.0,0.198,0.451,147.116
219,0.827,0.73,1,-5.324,1,0.0934,0.092,1.35e-05,0.258,0.679,95.003
220,0.57,0.827,3,-1.933,1,0.0456,0.0311,0.0,0.103,0.432,102.962
221,0.582,0.889,0,-4.386,1,0.0491,0.021,0.0,0.687,0.438,121.977
222,0.679,0.705,7,-5.216,1,0.0298,0.1,0.0,0.089,0.636,106.995
223,0.819,0.503,2,-9.953,1,0.0484,0.417,0.00123,0.0842,0.602,120.985
224,0.758,0.653,7,-4.664,1,0.0903,0.373,0.0,0.163,0.64,94.982
225,0.633,0.658,2,-5.824,0,0.0359,0.0661,0.0,0.0944,0.369,110.063
226,0.804,0.475,11,-8.891,1,0.0332,0.0375,0.0,0.0663,0.392,96.024
227,0.726,0.567,0,-7.128,1,0.107,0.493,0.0,0.356,0.461,105.016
228,0.759,0.668,0,-5.946,1,0.0297,0.061,6e-05,0.34,0.497,126.932
229,0.65,0.714,11,-5.933,1,0.0274,0.124,0.0,0.095,0.427,132.009
230,0.406,0.735,10,-3.972,1,0.0861,0.0185,0.0,0.114,0.191,188.018
231,0.822,0.749,5,-4.645,1,0.0488,0.346,2.28e-05,0.0762,0.791,128.048
232,0.628,0.835,2,-4.688,1,0.128,0.0885,0.0,0.148,0.876,160.014
233,0.735,0.83,9,-5.459,1,0.0406,0.00762,0.0,0.0415,0.783,112.074
234,0.762,0.876,0,-4.372,1,0.145,0.214,4.37e-06,0.102,0.82,102.013
235,0.558,0.957,10,-3.156,1,0.0523,0.0214,2.43e-06,0.0954,0.687,124.847
